ConstraintId,EvidenceType,Candidate,Constraint,Evidence,AllowedInterpretations,DisallowedShortcut
T-520,TitleOrClassifierMarker,520,Any reading of 520 must explain its terminal_title_or_suffix distribution.,count=321; start_pct=0.044; end_pct=0.822; score=0.836,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-820,TitleOrClassifierMarker,820,Any reading of 820 must explain its initial_title_or_classifier distribution.,count=244; start_pct=0.775; end_pct=0.164; score=0.828,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-151,TitleOrClassifierMarker,151,Any reading of 151 must explain its terminal_title_or_suffix distribution.,count=94; start_pct=0.074; end_pct=0.883; score=0.819,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-817,TitleOrClassifierMarker,817,Any reading of 817 must explain its initial_title_or_classifier distribution.,count=221; start_pct=0.873; end_pct=0.077; score=0.813,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-003,TitleOrClassifierMarker,003,Any reading of 003 must explain its leading_formula_marker distribution.,count=259; start_pct=0.583; end_pct=0.108; score=0.808,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-390,TitleOrClassifierMarker,390,Any reading of 390 must explain its closing_formula_marker distribution.,count=290; start_pct=0.128; end_pct=0.514; score=0.806,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-740,TitleOrClassifierMarker,740,Any reading of 740 must explain its terminal_title_or_suffix distribution.,count=1928; start_pct=0.093; end_pct=0.700; score=0.803,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-235,TitleOrClassifierMarker,235,Any reading of 235 must explain its leading_formula_marker distribution.,count=250; start_pct=0.432; end_pct=0.064; score=0.803,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-861,TitleOrClassifierMarker,861,Any reading of 861 must explain its initial_title_or_classifier distribution.,count=272; start_pct=0.654; end_pct=0.191; score=0.796,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-031,TitleOrClassifierMarker,031,Any reading of 031 must explain its leading_formula_marker distribution.,count=258; start_pct=0.388; end_pct=0.194; score=0.795,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
