TextId,CISI,Region,Site,Type,Complete,Direction,RawText,ReadingTokens,ReviewKind,Candidate,RoleHypothesis,StartPos,EndPos,LeftContext,RightContext,Score,SecondaryScore,FormulaRisk,Priority,ReviewQuestion
1619.1,H-715,Inter-Riverine,Harappa,TAB:B,Y,R/L,+526-550-060-820+,820-060-550-526,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,550 526,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
1891.1,K-16,Inter-Riverine,Kalibangan,SEAL:S,Y,R/L,+090-740-240/060-820+,820-060-240-740-090,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,240 740 090,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
1999.1,L-21,Gujarat/Kutch,Lothal,SEAL:S,Y,R/L,+156-142-060-820+,820-060-142-156,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,142 156,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2067.1,L-122,Gujarat/Kutch,Lothal,SEAL:R,Y,R/L,+527-550-740-443-060-820+,820-060-443-740-550-527,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,443 740 550,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2285.1,M-1760,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-923-240-235-060-820+,820-060-235-240-923-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,235 240 923,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2293.1,M-808,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-455-240-235-060-820+,820-060-235-240-455-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,235 240 455,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2345.1,M-1804,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-798-231-060-820+,820-060-231-798-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,231 798 740,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2427.1,M-1768,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-798-220-060-820+,820-060-220-798-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,220 798 740,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2478.1,M-1906,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+520-033-705-233-235-060-820+,820-060-235-233-705-033-520,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,235 233 705,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2559.1,M-31,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-269-511-233-060-820+,820-060-233-511-269-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,233 511 269,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2689.1,M-163,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+520-220-415-060-820+,820-060-415-220-520,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,415 220 520,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2727.1,M-202,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+400-241-031-060-820+,820-060-031-241-400,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,031 241 400,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2819.1,M-300,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-390-590-001/060-820+,820-060-001-590-390-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,001 590 390,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2822.1,M-303,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+520-033-705-060-820+,820-060-705-033-520,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,705 033 520,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
2840.1,M-322,Lower Indus,Mohenjo-daro,SEAL:S,Y,R/L,+740-061-060-820+,820-060-061-740,NameBlock,820-060,CROSS_SITE_NAME_ANCHOR,1,2,,061 740,0.9341,0.8865,0.6197,A,"Inspect artifact image and neighbors: name, office, lineage, place, commodity, or fixed formula?"
