Unit,EvidenceType,Frame,FillerA,AbstractA,FillerB,AbstractB,Relation,CombinedCount,Constraint
032,DirectAnchorAlternation,031|<END>,156,T06,032,A07,Substitution@1:156>032,19,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,031|<END>,740,T01,032,A07,Substitution@1:740>032,17,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,<START>|001,820,C01,032,A07,Substitution@1:820>032,17,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,<START>|240,235,M01,032,A07,Substitution@1:235>032,17,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,<START>|390,590,A08,032,A07,Substitution@1:590>032,16,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,820|<END>,002,A01,032,A07,Substitution@1:002>032,15,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,<START>|240,798,A14,032,A07,Substitution@1:798>032,14,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,031|<END>,032,A07,520,T02,Substitution@1:032>520,13,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,031|<END>,032,A07,700,R138,Substitution@1:032>700,13,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,031|<END>,032,A07,136,R??,Substitution@1:032>136,12,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,031|<END>,032,A07,151,T05,Substitution@1:032>151,11,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,<START>|390,003,M05,032,A07,Substitution@1:003>032,11,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
032,DirectAnchorAlternation,002|<END>,236,R86,032,A07,Substitution@1:236>032,10,"same frame, same slot; any phonetic proposal must explain the contrast without changing the formula"
