Unit,AbstractUnit,WorkingHypothesis,SegmentationProbe,MustExplain,DisallowedShortcut,Status
240-482,A02-R16,240 may mark institutional/admin class; 482 may be local entity stem,240=prefix/title/classifier-like component; 482=lexical root candidate,8 occurrence(s); Site=Harappa; 002|740:8,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
176,R02,root-like entity name/title component; compare with 240-176,176=root-like component,5 occurrence(s); Site=Mohenjo-daro; 002|740:4; <START>|741:1,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
590-390,A08-M02,compound name/title/place candidate with final formula-marker-like 390,590=prefix/title/classifier-like component; 390=suffix/final qualifier candidate,3 occurrence(s); Material=Steatite; 002|740:3,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
235-222,M01-R31,235 may be formula/title prefix; 222 may be entity stem,235=prefix/title/classifier-like component; 222=lexical root candidate,3 occurrence(s); Symbol=Bull; 002|740:3,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
032-220,A07-A09,032 may qualify 220 or mark a subtype in bull-seal context,032=root-like component; 220=suffix/final qualifier candidate,2 occurrence(s); Symbol=Bull; 002|740:1; <START>|233:1,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
240-176,A02-R02,240 may qualify or classify root-like 176,240=prefix/title/classifier-like component; 176=root-like component,2 occurrence(s); Material=Steatite; 002|740:2,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
235-840-032,M01-R10-A07,multi-part entity/title formula sharing 235 and 032 with other anchors,235=prefix/title/classifier-like component; 840=lexical root candidate; 032=root-like component,2 occurrence(s); SemanticFrame=PrimeEntitySealFormula; 002|740:2,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,Pre-phonetic; semantic reading class only
032,A07,suffix/title/object-ending candidate,032=root-like component,10 occurrence(s); Site=Chanhu-daro; 031|<END>:5; <START>|390:2; <START>|001:2; 820|<END>:1,free-standing nouns unless the same unit appears independently,Pre-phonetic; semantic reading class only
240-740-090,A02-T01-A10,administrative object/formula candidate,240=prefix/title/classifier-like component; 740=unresolved component; 090=suffix/final qualifier candidate,13 occurrence(s); Symbol=Cros; 235|<END>:11; 031|<END>:1; 060|<END>:1,free-standing nouns unless the same unit appears independently,Pre-phonetic; semantic reading class only
140,M07,administrative object/formula candidate,140=unresolved component,7 occurrence(s); Symbol=Goat:4; <START>|001:3; <START>|390:2; 002|740:1; <START>|741:1,root nouns unless context and alternations require it,Pre-phonetic; semantic reading class only
820-060,C01-A06,classifier/title/prefix candidate,820=unresolved component; 060=suffix/final qualifier candidate,4 occurrence(s); SemanticFrame=ClassifierSlotTerminalFormula; <START>|240:2; <START>|001:1; <START>|233:1,root nouns unless context and alternations require it,Pre-phonetic; semantic reading class only
