Sign,Variable,FunctionalClass,ProtoGloss,CountInReadyTexts,RoleContexts,SemanticFrames,ReadingConstraint
820,C01,CLASSIFIER,INITIAL_TITLE_OR_CLASSIFIER / SLOT_INITIAL_MODIFIER,82,InitialFiller:40; TerminalFiller:3,ClassifierSlotTerminalFormula:48; InitialClassifierFormula:21; PrimeEntitySealFormula:12; PrimeEntityAdministrativeFormula:1,"must behave like an initial title, classifier, or determinative in matching frames"
861,C02,CLASSIFIER,INITIAL_TITLE_OR_CLASSIFIER / SLOT_INITIAL_MODIFIER,76,InitialFiller:33; TerminalFiller:2; PrimeEntityFiller:1,PrimeEntitySealFormula:36; ClassifierSlotTerminalFormula:24; InitialClassifierFormula:9; PrimeEntityAdministrativeFormula:7,"must behave like an initial title, classifier, or determinative in matching frames"
817,C03,CLASSIFIER,INITIAL_TITLE_OR_CLASSIFIER / SLOT_INITIAL_MODIFIER,53,InitialFiller:27; TerminalFiller:2; PrimeEntityFiller:1,PrimeEntitySealFormula:22; ClassifierSlotTerminalFormula:18; InitialClassifierFormula:9; PrimeEntityAdministrativeFormula:4,"must behave like an initial title, classifier, or determinative in matching frames"
740,T01,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,378,TerminalFiller:220; InitialFiller:20; PrimeEntityFiller:1,TerminalFormula:209; PrimeEntitySealFormula:105; ClassifierSlotTerminalFormula:51; PrimeEntityAdministrativeFormula:12; NameLikeTerminalFormula:1,"must behave like a terminal title, suffix, or formula ending across seals"
520,T02,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,115,TerminalFiller:105; InitialFiller:1,TerminalFormula:87; ClassifierSlotTerminalFormula:25; NameLikeTerminalFormula:2; PrimeEntitySealFormula:1,"must behave like a terminal title, suffix, or formula ending across seals"
400,T03,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,26,TerminalFiller:23; InitialFiller:1,TerminalFormula:20; ClassifierSlotTerminalFormula:5; PrimeEntitySealFormula:1,"must behave like a terminal title, suffix, or formula ending across seals"
527,T04,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,17,TerminalFiller:15; InitialFiller:1,TerminalFormula:8; ClassifierSlotTerminalFormula:7; PrimeEntitySealFormula:2,"must behave like a terminal title, suffix, or formula ending across seals"
151,T05,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,15,TerminalFiller:13,TerminalFormula:11; ClassifierSlotTerminalFormula:4,"must behave like a terminal title, suffix, or formula ending across seals"
156,T06,TERMINAL,TERMINAL_TITLE_OR_SUFFIX,9,TerminalFiller:7; PrimeEntityFiller:1,TerminalFormula:5; ClassifierSlotTerminalFormula:2; PrimeEntitySealFormula:2,"must behave like a terminal title, suffix, or formula ending across seals"
235,M01,FORMULA_MARKER,LEADING_FORMULA_MARKER / SLOT_FINAL_MODIFIER / SLOT_INITIAL_MODIFIER,112,InitialFiller:54; TerminalFiller:24; PrimeEntityFiller:22,TerminalFormula:70; PrimeEntitySealFormula:22; ClassifierSlotTerminalFormula:15; LowEvidenceSequence:5,must remain formulaic across repeated contexts before phonetic value is proposed
390,M02,FORMULA_MARKER,CLOSING_FORMULA_MARKER / SLOT_FINAL_MODIFIER,88,TerminalFiller:12; PrimeEntityFiller:10; InitialFiller:5,TerminalFormula:29; InitialClassifierFormula:19; LowEvidenceSequence:17; PrimeEntitySealFormula:15; ClassifierSlotTerminalFormula:6,must remain formulaic across repeated contexts before phonetic value is proposed
031,M03,FORMULA_MARKER,LEADING_FORMULA_MARKER / SLOT_INITIAL_MODIFIER,78,TerminalFiller:31; InitialFiller:23; PrimeEntityFiller:2,TerminalFormula:42; LowEvidenceSequence:13; PrimeEntitySealFormula:11; ClassifierSlotTerminalFormula:9; InitialClassifierFormula:3,must remain formulaic across repeated contexts before phonetic value is proposed
920,M04,FORMULA_MARKER,LEADING_FORMULA_MARKER,66,InitialFiller:45; TerminalFiller:9; PrimeEntityFiller:2,TerminalFormula:37; LowEvidenceSequence:18; PrimeEntitySealFormula:6; ClassifierSlotTerminalFormula:3; InitialClassifierFormula:2,must remain formulaic across repeated contexts before phonetic value is proposed
003,M05,FORMULA_MARKER,LEADING_FORMULA_MARKER / SLOT_INITIAL_MODIFIER,54,InitialFiller:26; TerminalFiller:19; PrimeEntityFiller:7,LowEvidenceSequence:16; TerminalFormula:15; InitialClassifierFormula:12; PrimeEntitySealFormula:9; ClassifierSlotTerminalFormula:2,must remain formulaic across repeated contexts before phonetic value is proposed
806,M06,FORMULA_MARKER,LEADING_FORMULA_MARKER,34,InitialFiller:16; TerminalFiller:8; PrimeEntityFiller:7,TerminalFormula:16; PrimeEntitySealFormula:7; ClassifierSlotTerminalFormula:5; LowEvidenceSequence:5; InitialClassifierFormula:1,must remain formulaic across repeated contexts before phonetic value is proposed
140,M07,FORMULA_MARKER,LEADING_FORMULA_MARKER,28,InitialFiller:13; TerminalFiller:5; PrimeEntityFiller:3,PrimeEntitySealFormula:9; TerminalFormula:8; ClassifierSlotTerminalFormula:5; LowEvidenceSequence:5; InitialClassifierFormula:1,must remain formulaic across repeated contexts before phonetic value is proposed
002,A01,SLOT_MODIFIER,SLOT_FINAL_MODIFIER / SLOT_INITIAL_MODIFIER,219,InitialFiller:119; PreTerminalFiller:2; TerminalFiller:1,PrimeEntitySealFormula:104; TerminalFormula:42; ClassifierSlotTerminalFormula:35; InitialClassifierFormula:19; PrimeEntityAdministrativeFormula:12,must explain slot alternations without breaking frame identity
