Unit,AbstractUnit,Role,BestContext,AllowedLexicalSearch,BlockedShortcut,MinimumEvidenceBeforeReading
032-220,A07-A09,PrimeEntityFiller,Symbol=Bull,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
176,R02,PrimeEntityFiller,Site=Mohenjo-daro,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
235-222,M01-R31,PrimeEntityFiller,Symbol=Bull,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
235-840-032,M01-R10-A07,PrimeEntityFiller,SemanticFrame=PrimeEntitySealFormula,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
240-176,A02-R02,PrimeEntityFiller,Material=Steatite,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
240-482,A02-R16,PrimeEntityFiller,Site=Harappa,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
590-390,A08-M02,PrimeEntityFiller,Material=Steatite,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
001,A05,InitialFiller,Site=Banawali,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
002,A01,PreTerminalFiller,SemanticFrame=ClassifierSlotTerminalFormula,morphemes or lexical roots only after context validation,single-occurrence lexical matches,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
003,M05,InitialFiller,Region=Inter-Riverine,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
004-407,R28-R12,TerminalFiller,Material=Steatite,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
031,M03,InitialFiller,SemanticFrame=LowEvidenceSequence,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
032,A07,TerminalFiller,Site=Chanhu-daro,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
061-740,R29-T01,TerminalFiller,SemanticFrame=ClassifierSlotTerminalFormula,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
125,R05,InitialFiller,Symbol=Bull,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
140,M07,InitialFiller,Symbol=Goat:4,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
176-740,R02-T01,TerminalFiller,Symbol=Other,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
233,A04,InitialFiller,Symbol=Gaur,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
235,M01,InitialFiller,Symbol=S590,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
240,A02,TerminalFiller,Symbol=Bull,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
240-520,A02-T02,TerminalFiller,Symbol=Bull,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
240-740-090,A02-T01-A10,TerminalFiller,Symbol=Cros,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
390,M02,InitialFiller,None=Unknown,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
520,T02,TerminalFiller,Symbol=Composite/Multiple,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
590,A08,InitialFiller,Symbol=Bull,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
590-390-740,A08-M02-T01,TerminalFiller,Symbol=Bull,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
705,A13,InitialFiller,Symbol=Bull,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
705-033-520,A13-A11-T02,TerminalFiller,Material=Steatite,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
706-033-520,R09-A11-T02,TerminalFiller,Symbol=Bull,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
740,T01,TerminalFiller,Symbol=Gavial,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
760-740,A16-T01,TerminalFiller,Symbol=Bull,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
798,A14,InitialFiller,Site=Harappa,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
803,A12,InitialFiller,Region=Inter-Riverine,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,all occurrences inspected; minimal pairs checked; sign value predicts every structural frame
