Rank,Unit,AbstractUnit,Role,ReadingClass,SkeletonReading,ConstraintStatus,EvidenceTier,Score,DossierConfidence,OccurrenceCount,DirectMinimalTests,ComponentMinimalTests,ContextScore,FramePurity,MinimalSupport,ComponentSupport,BestContext,BestContextStrength,DominantFrame,Components,AcceptedClaims,RejectedClaims,Warnings,HardFailures,NextSafeTest
1,240-482,A02-R16,PrimeEntityFiller,institutional/admin label candidate,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,Accepted pre-phonetic skeleton,A,0.966,0.966,8,4,26,1.000,1.000,0.875,1.000,Site=Harappa,Strong,002|740,240=QUALIFIER_TITLE_CLASSIFIER; 482=ENTITY_STEM,240-482 may be modeled as QUALIFIER_TITLE_PREFIX + ENTITY_STEM; context=Site=Harappa; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,,,compare all 240-482 occurrences inside and outside Harappa; test regional/administrative value
2,240-740-090,A02-T01-A10,TerminalFiller,administrative object/formula candidate,ADMINISTRATIVE_OBJECT_FORMULA,Accepted pre-phonetic skeleton,A,0.951,0.935,13,1,79,1.000,0.846,1.000,1.000,Symbol=Cros,Strong,235|<END>,240=QUALIFIER_TITLE_CLASSIFIER; 740=TERMINAL_TITLE_SUFFIX; 090=FINAL_QUALIFIER,240-740-090 may be modeled as ADMINISTRATIVE_OBJECT_FORMULA; context=Symbol=Cros; dominant frame=235|<END>,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,,,inspect seal images for all 240-740-090 occurrences with Cros; test emblem-linked reading
3,032,A07,TerminalFiller,suffix/title/object-ending candidate,TERMINAL_TITLE_OR_OBJECT_ENDING,Accepted pre-phonetic skeleton,A,0.882,0.946,10,20,2,1.000,0.500,1.000,1.000,Site=Chanhu-daro,Strong,031|<END>,032=ENTITY_STEM_OR_SUBTYPE,032 may be modeled as TERMINAL_TITLE_OR_OBJECT_ENDING; context=Site=Chanhu-daro; dominant frame=031|<END>,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,frame purity is mixed,,compare all 032 occurrences inside and outside Chanhu-daro; test regional/administrative value
4,176,R02,PrimeEntityFiller,emblem-linked name/title candidate,ENTITY_STEM,Promising constrained skeleton,B,0.849,0.796,5,17,13,0.795,0.800,1.000,1.000,Site=Mohenjo-daro,Moderate,002|740,176=ENTITY_STEM_OR_SUBTYPE,176 may be modeled as ENTITY_STEM; context=Site=Mohenjo-daro; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,,,compare all 176 occurrences inside and outside Mohenjo-daro; test regional/administrative value
5,240-176,A02-R02,PrimeEntityFiller,controlled lexical candidate,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,Promising constrained skeleton,B,0.783,0.666,2,2,38,0.750,1.000,0.958,1.000,Material=Steatite,Moderate,002|740,240=QUALIFIER_TITLE_CLASSIFIER; 176=ENTITY_STEM_OR_SUBTYPE,240-176 may be modeled as QUALIFIER_TITLE_PREFIX + ENTITY_STEM; context=Material=Steatite; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,context is moderate rather than strong,,compare artifact function for 240-176 in Steatite; test administrative/object-class value
6,590-390,A08-M02,PrimeEntityFiller,emblem-linked name/title candidate,QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER,Promising constrained skeleton,B,0.757,0.716,3,0,31,0.765,1.000,0.646,1.000,Material=Steatite,Moderate,002|740,590=QUALIFIER_TITLE_CLASSIFIER; 390=FINAL_QUALIFIER,590-390 may be modeled as QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER; context=Material=Steatite; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,context is moderate rather than strong,,compare artifact function for 590-390 in Steatite; test administrative/object-class value
7,235-222,M01-R31,PrimeEntityFiller,emblem-linked name/title candidate,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,Exploratory constrained skeleton,C,0.739,0.705,3,0,27,0.765,1.000,0.562,1.000,Symbol=Bull,Moderate,002|740,235=QUALIFIER_TITLE_CLASSIFIER; 222=ENTITY_STEM,235-222 may be modeled as QUALIFIER_TITLE_PREFIX + ENTITY_STEM; context=Symbol=Bull; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,context is moderate rather than strong,,inspect seal images for all 235-222 occurrences with Bull; test emblem-linked reading
8,235-840-032,M01-R10-A07,PrimeEntityFiller,controlled lexical candidate,QUALIFIER_TITLE_PREFIX + ENTITY_STEM + SUBTYPE_OR_SECOND_STEM,Exploratory constrained skeleton,C,0.681,0.665,2,0,23,0.750,1.000,0.479,1.000,SemanticFrame=PrimeEntitySealFormula,Moderate,002|740,235=QUALIFIER_TITLE_CLASSIFIER; 840=ENTITY_STEM; 032=ENTITY_STEM_OR_SUBTYPE,235-840-032 may be modeled as QUALIFIER_TITLE_PREFIX + ENTITY_STEM + SUBTYPE_OR_SECOND_STEM; context=SemanticFrame=PrimeEntitySealFormula; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,context is moderate rather than strong; minimal-pair support is indirect or absent,,collect more context for 235-840-032; keep phonetic value unassigned
9,820-060,C01-A06,InitialFiller,classifier/title/prefix candidate,CLASSIFIER_TITLE + FINAL_QUALIFIER,Exploratory constrained skeleton,C,0.673,0.777,4,1,10,1.000,0.500,0.292,1.000,SemanticFrame=ClassifierSlotTerminalFormula,Strong,<START>|240,820=CLASSIFIER_TITLE; 060=FINAL_QUALIFIER,820-060 may be modeled as CLASSIFIER_TITLE + FINAL_QUALIFIER; context=SemanticFrame=ClassifierSlotTerminalFormula; dominant frame=<START>|240,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,direct minimal support exists but is still thin; frame purity is mixed,,collect more context for 820-060; keep phonetic value unassigned
10,140,M07,InitialFiller,administrative object/formula candidate,ADMINISTRATIVE_FORMULA_OPENER,Exploratory constrained skeleton,C,0.657,0.778,7,3,0,1.000,0.429,0.250,1.000,Symbol=Goat:4,Strong,<START>|001,140=FORMULA_MARKER,140 may be modeled as ADMINISTRATIVE_FORMULA_OPENER; context=Symbol=Goat:4; dominant frame=<START>|001,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,direct minimal support exists but is still thin; frame evidence is diffuse,,inspect seal images for all 140 occurrences with Goat:4; test emblem-linked reading
11,032-220,A07-A09,PrimeEntityFiller,emblem-linked name/title candidate,ENTITY_STEM + FINAL_QUALIFIER,Exploratory constrained skeleton,C,0.648,0.681,2,1,28,0.750,0.500,0.667,1.000,Symbol=Bull,Moderate,002|740,032=ENTITY_STEM_OR_SUBTYPE; 220=FINAL_QUALIFIER,032-220 may be modeled as ENTITY_STEM + FINAL_QUALIFIER; context=Symbol=Bull; dominant frame=002|740,phonetic value; language-family value; icon-only animal equation; one-off lexical resemblance,context is moderate rather than strong; frame purity is mixed,,inspect seal images for all 032-220 occurrences with Bull; test emblem-linked reading
