Post240Sign,SlotOccurrenceCount,CorpusAdjacentCount,TextCount,DistinctUnitForms,TopUnitForms,TailForms,TopFrame,TopFrameShare,PrimeEntityShare,FrameEntropy,Frames,Sites,Symbols,SemanticFrames,Post240Class,Post240Interpretation,FrameLockScore,Lead,Examples
520,33,46,33,1,240-520:33,<none>:33,002|<END>,0.879,0.879,0.334,002|<END>:29; 235|<END>:1; 741|<END>:1; 031|<END>:1; 060|<END>:1,Harappa:30; Mohenjo-daro:2; Nausharo:1,Bull1:I:24; Bull1:3; Bull1:U:2; Zebu:1; Rhin:1,TerminalFormula:33,TERMINAL,TERMINAL_TITLE_OR_SUFFIX / SLOT_FINAL_MODIFIER,0.800,Prime 240+X environment; control grammar before treating X as a stem.,H-148; H-252; H-253; H-254; H-255; H-256; H-257; H-258
<NONE>,31,0,31,1,240:31,<none>:31,<START>|233,0.290,0.194,0.845,<START>|233:9; <START>|520:8; 002|<END>:4; 060|740:2; 741|<END>:2; 002|740:2,Harappa:17; Mohenjo-daro:9; Kalibangan:2; Lothal:1; Unknown:1,Bull1:W:6; Bull1:3; Bull1:J:3; Bult:1; Bull1:S:1,TerminalFormula:16; LowEvidenceSequence:10; InitialClassifierFormula:2; PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1,,,0.476,240 occurs as a complete filler; treat as possible standalone operator/control.,H-1052; H-874; H-1912; H-2244; H-1921; H-1908; H-1907; H-246
740,21,25,20,7,240-740-090:15; 240-740-151-031-032:1; 240-740:1; 240-740-679:1; 240-740-017-585:1,090:15; 151-031-032:1; <none>:1; 679:1; 017-585:1,235|<END>,0.714,0.143,0.608,235|<END>:15; 060|<END>:2; 002|<END>:2; 031|<END>:1; 002|740:1,Mohenjo-daro:12; Harappa:7; Chanhu-daro:1; Kalibangan:1,Bull1:W:7; Cros:7; S590:2; Gavi:2; Bull1:II:1,TerminalFormula:15; PrimeEntitySealFormula:4; ClassifierSlotTerminalFormula:2,TERMINAL,unresolved component,0.843,Frame-locked 240 compound; useful grammar control.,C-70; H-2055; H-2054; H-2020; H-2019; H-440; K-16; M-2026
482,16,15,8,2,240-482:8; 240-482-740:8,<none>:8; 740:8,002|740,0.500,1.000,1.000,002|740:8; 002|<END>:8,Harappa:14; Mohenjo-daro:2,Bull1:4; Elep:2,PrimeEntityAdministrativeFormula:14; PrimeEntitySealFormula:2,ROOT_OR_UNRESOLVED,lexical root candidate,0.933,Prime 240+STEM environment; use as controlled stem lane.,H-2010; H-2011; H-806; H-807; H-808; M-280; H-1130; H-1131
415,12,10,7,4,240-415-100:6; 240-415-100-740-090:3; 240-415-100-740:2; 240-415-220:1,100:6; 100-740-090:3; 100-740:2; 220:1,002|740,0.333,0.667,0.871,002|740:4; 002|<END>:4; 820|740:1; 741|<END>:1; 820|<END>:1; <START>|520:1,Mohenjo-daro:7; Harappa:2; Gola Dhoro (Bagasra):2; Rakhigarhi:1,Bull1:S:7; Bull1:W:2; Bull1:J:2; Elep:1,PrimeEntitySealFormula:8; ClassifierSlotTerminalFormula:2; LowEvidenceSequence:1; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.817,Mixed frame evidence; keep as lower-confidence 240 context.,H-31; M-1746; M-144; M-199; -; M-1814
636,11,19,8,4,240-636-740:4; 240-636:3; 240-636-740-400:3; 240-636-255-817:1,740:4; <none>:3; 740-400:3; 255-817:1,031|<END>,0.273,0.273,0.960,031|<END>:3; 060|740:2; 002|<END>:2; 060|<END>:2; 002|740:1; 233|<END>:1,Harappa:7; Chanhu-daro:2; Mohenjo-daro:2,Bult:3; Bull1:W:1; Bull1:J:1,TerminalFormula:7; PrimeEntitySealFormula:3; InitialClassifierFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.579,Mixed frame evidence; keep as lower-confidence 240 context.,C-78; H-360; H-823; M-41; H-301; H-905; H-988; M-141
220,7,11,6,5,240-220-520:3; 240-220-233-520:1; 240-220:1; 240-220-717:1; 240-220-717-740:1,520:3; 233-520:1; <none>:1; 717:1; 717-740:1,002|<END>,0.571,0.714,0.832,002|<END>:4; 741|<END>:1; 235|<END>:1; 002|740:1,Mohenjo-daro:4; Lothal:2; Harappa:1,Bull1:W:3; Bull1:S:1,TerminalFormula:3; PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1,SLOT_MODIFIER,suffix/final qualifier candidate,0.739,Mixed frame evidence; keep as lower-confidence 240 context.,H-231; M-888; M-962; L-134; L-199; M-651
642,7,7,5,2,240-642-740:4; 240-642:3,740:4; <none>:3,060|<END>,0.286,0.000,0.975,060|<END>:2; 001|<END>:2; 060|740:2; 031|<END>:1,Harappa:6; Mohenjo-daro:1,Bull1:S:1,TerminalFormula:6; InitialClassifierFormula:1,,,0.436,Mixed frame evidence; keep as lower-confidence 240 context.,H-1845; H-237; H-821; H-822; M-941
904,7,8,4,2,240-904-740:4; 240-904:3,740:4; <none>:3,002|740,0.429,0.857,0.914,002|740:3; 002|<END>:3; 235|<END>:1,Harappa:6; Lothal:1,Bull2:6,PrimeEntityAdministrativeFormula:6; TerminalFormula:1,ROOT_OR_UNRESOLVED,UNRESOLVED,0.751,Prime 240+STEM environment; use as controlled stem lane.,-; H-697; H-1100; L-111
603,6,3,3,2,240-603-740:3; 240-603:3,740:3; <none>:3,060|<END>,0.500,0.000,1.000,060|<END>:3; 060|740:3,Harappa:6,,TerminalFormula:6,ROOT_OR_UNRESOLVED,UNRESOLVED,0.533,Mixed frame evidence; keep as lower-confidence 240 context.,H-1138; H-1846; H-1137
